vi,ctrl,sx,sy,cx,cy,btns,value
601,0,-128,0,0,0,0,0000ae00
605,0,-127,0,0,0,0,0000ae00
609,0,-126,0,0,0,0,0000ae00
613,0,-125,0,0,0,0,0000ae00
617,0,-124,0,0,0,0,0000ae00
621,0,-123,0,0,0,0,0000ae00
625,0,-122,0,0,0,0,0000ae00
629,0,-121,0,0,0,0,0000ae00
633,0,-120,0,0,0,0,0000ae00
637,0,-119,0,0,0,0,0000ae00
641,0,-118,0,0,0,0,0000ae00
645,0,-117,0,0,0,0,0000ae00
649,0,-116,0,0,0,0,0000ae00
653,0,-115,0,0,0,0,0000ae00
657,0,-114,0,0,0,0,0000ae00
661,0,-113,0,0,0,0,0000ae00
665,0,-112,0,0,0,0,0000ae00
669,0,-111,0,0,0,0,0000ae00
673,0,-110,0,0,0,0,0000ae00
677,0,-109,0,0,0,0,0000ae00
681,0,-108,0,0,0,0,0000ae00
685,0,-107,0,0,0,0,0000ae00
689,0,-106,0,0,0,0,0000ae00
693,0,-105,0,0,0,0,0000ae00
697,0,-104,0,0,0,0,0000ae00
701,0,-103,0,0,0,0,0000ae00
705,0,-102,0,0,0,0,0000ae00
709,0,-101,0,0,0,0,0000ae00
713,0,-100,0,0,0,0,0000af00
717,0,-99,0,0,0,0,0000af00
721,0,-98,0,0,0,0,0000b000
725,0,-97,0,0,0,0,0000b100
729,0,-96,0,0,0,0,0000b200
733,0,-95,0,0,0,0,0000b300
737,0,-94,0,0,0,0,0000b400
741,0,-93,0,0,0,0,0000b400
745,0,-92,0,0,0,0,0000b500
749,0,-91,0,0,0,0,0000b600
753,0,-90,0,0,0,0,0000b700
757,0,-89,0,0,0,0,0000b800
761,0,-88,0,0,0,0,0000b800
765,0,-87,0,0,0,0,0000b900
769,0,-86,0,0,0,0,0000ba00
773,0,-85,0,0,0,0,0000bb00
777,0,-84,0,0,0,0,0000bc00
781,0,-83,0,0,0,0,0000bc00
785,0,-82,0,0,0,0,0000bd00
789,0,-81,0,0,0,0,0000be00
793,0,-80,0,0,0,0,0000bf00
797,0,-79,0,0,0,0,0000c000
801,0,-78,0,0,0,0,0000c100
805,0,-77,0,0,0,0,0000c100
809,0,-76,0,0,0,0,0000c200
813,0,-75,0,0,0,0,0000c300
817,0,-74,0,0,0,0,0000c400
821,0,-73,0,0,0,0,0000c500
825,0,-72,0,0,0,0,0000c500
829,0,-71,0,0,0,0,0000c600
833,0,-70,0,0,0,0,0000c700
837,0,-69,0,0,0,0,0000c800
841,0,-68,0,0,0,0,0000c900
845,0,-67,0,0,0,0,0000c900
849,0,-66,0,0,0,0,0000ca00
853,0,-65,0,0,0,0,0000cb00
857,0,-64,0,0,0,0,0000cc00
861,0,-63,0,0,0,0,0000cd00
865,0,-62,0,0,0,0,0000ce00
869,0,-61,0,0,0,0,0000ce00
873,0,-60,0,0,0,0,0000cf00
877,0,-59,0,0,0,0,0000d000
881,0,-58,0,0,0,0,0000d100
885,0,-57,0,0,0,0,0000d200
889,0,-56,0,0,0,0,0000d200
893,0,-55,0,0,0,0,0000d300
897,0,-54,0,0,0,0,0000d400
901,0,-53,0,0,0,0,0000d500
905,0,-52,0,0,0,0,0000d600
909,0,-51,0,0,0,0,0000d700
913,0,-50,0,0,0,0,0000d700
917,0,-49,0,0,0,0,0000d800
921,0,-48,0,0,0,0,0000d900
925,0,-47,0,0,0,0,0000da00
929,0,-46,0,0,0,0,0000db00
933,0,-45,0,0,0,0,0000db00
937,0,-44,0,0,0,0,0000dc00
941,0,-43,0,0,0,0,0000dd00
946,0,-42,0,0,0,0,0000de00
948,0,-41,0,0,0,0,0000df00
952,0,-40,0,0,0,0,0000df00
957,0,-39,0,0,0,0,0000e000
961,0,-38,0,0,0,0,0000e100
