id,date,platform,plugin,build,n,rom,how,vis,vi_rate,wall_s,speed,idle_pct,avg_vis,avg_fps,exceptions,cacheResets,recompiles,batches,verts,texStalls,treeDepthMax,underruns,overruns,pmc1,pmc2,ipc,heap_used,heap_free,arena1_free,arena2_free,flushes,flush_us,padtrace,purpose
2026-09-22_dolphin_all_glN64,2026-09-22,dolphin,glN64,e9fdfa4+dirty,1,Super Mario 64.v64,vis,3600,60,60.00,1.000,41.1,59.5,28.22,27300,1,1567,444650,7472436,0,15,8,0,43729595308,0,0.000,11323768,6024,421872,54302592,6,4141,6,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_glN64,2026-09-22,dolphin,glN64,e9fdfa4+dirty,2,Banjo-Kazooie.V64,vis,3600,60,60.08,0.999,54.0,59.46,21.57,22438,1,2351,272570,6044694,0,32,2,0,43784468392,0,0.000,11363056,3600,385008,54302592,6,4632,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_glN64,2026-09-22,dolphin,glN64,e9fdfa4+dirty,3,Zelda Ocarina of Time Master Quest.v64,vis,3600,60,71.36,0.841,51.1,50.29,0.21,139806,1,480,0,0,0,9,853,0,52018815403,0,0.000,11281704,84952,385008,54302592,7,5018,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_glN64,2026-09-22,dolphin,glN64,e9fdfa4+dirty,4,"Legend of Zelda, The - Majora's Mask (E) (M4) [!].z64",vis,3600,50,71.98,1.000,83.5,49.68,0.21,144448,1,565,0,0,0,10,1,0,52470462068,0,0.000,11285304,81352,385008,54302592,7,5230,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_Rice,2026-09-22,dolphin,Rice,e9fdfa4+dirty,1,Super Mario 64.v64,vis,3600,60,60.02,1.000,41.1,59.47,28.2,27303,1,1567,383168,4067949,0,15,7,0,43745060917,0,0.000,10386304,4800,749552,54302592,6,4125,4,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_Rice,2026-09-22,dolphin,Rice,e9fdfa4+dirty,2,Banjo-Kazooie.V64,vis,3600,60,60.06,0.999,58.4,59.49,21.57,22438,1,2351,199326,2808753,10,32,3,0,43772282665,0,0.000,10422816,1056,716784,54302592,6,4668,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_Rice,2026-09-22,dolphin,Rice,e9fdfa4+dirty,3,Zelda Ocarina of Time Master Quest.v64,vis,3600,60,71.41,0.840,51.2,50.13,0.21,139800,1,480,0,0,0,9,845,0,52052302927,0,0.000,10325832,98040,716784,54302592,7,5425,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-22_dolphin_all_Rice,2026-09-22,dolphin,Rice,e9fdfa4+dirty,4,"Legend of Zelda, The - Majora's Mask (E) (M4) [!].z64",vis,3600,50,72.00,1.000,83.6,49.69,0.2,144446,1,565,0,0,0,10,1,0,52485242992,0,0.000,10329680,94192,716784,54302592,7,5502,0,"all.txt (4 ROMs x 3600 VIs), stock settings, first chained baseline. OoT MQ and Majora's Mask hang at boot (CIC-6105): black screen, ~0 fps; OoT MQ runs 50 Hz VI timing against a 60 Hz header, so its speed column is not meaningful while hung."
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,1,Super Mario 64.v64,vis,3600,60,60.23,0.996,45.2,59.5,28.29,27287,1,1567,443682,7449684,0,15,13,0,23796482786,22442867566,0.943,10862652,35368,712704,56405952,6,68110,4,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,2,Mario Kart 64.v64,vis,3600,60,60.20,0.997,98.6,59.53,0.86,6348,1,413,64,4140,0,14,1,0,572674144,535230578,0.935,10795516,102504,712704,56405952,6,91226,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,3,Banjo-Kazooie.V64,vis,3600,60,60.23,0.996,53.4,59.51,21.79,22438,1,2351,272570,6044694,0,32,6,0,19721944683,18303463708,0.928,10928796,34760,647168,56405952,6,63756,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,4,Mario Party.v64,vis,3600,60,63.06,0.952,31.8,58.61,131.96,33522,1,1626,506055,11702520,0,25,25,0,27805853596,27299645588,0.982,10871068,92488,647168,56405952,6,152332,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,5,Mario Party 2 (E) (M5) [!].z64,vis,3600,50,74.72,0.964,79.3,49.32,49.06,24486,1,973,0,0,0,16,4,0,9443607831,8386229263,0.888,10830876,132680,647168,56405952,7,249335,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,6,Mario Party 3 (E) (M4) [!].z64,vis,3600,50,74.77,0.963,72.4,49.62,49.46,24023,1,1288,0,0,0,18,2,0,13104826568,12630619592,0.964,10849692,113864,647168,56405952,7,225726,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,7,Pokemon Snap.rom,vis,3600,60,60.64,0.989,11.5,59.26,58.18,37960,1,832,972224,27179223,0,12,33,0,38878793281,36734895090,0.945,10825692,137864,647168,56405952,6,228936,0,"hardware.txt, nine-entry Wii baseline"
2026-09-25_hw_glN64_full,2026-09-25,hardware,glN64,8b5cf63+dirty,8,Super Smash Bros. (U) [!].z64,vis,3600,60,60.40,0.993,45.6,59.48,53.01,48742,1,2124,339526,8867220,0,14,7,0,23302555836,21698893354,0.931,10874748,88808,647168,56405952,6,212041,0,"hardware.txt, nine-entry Wii baseline"
